time,real,proxy,imb,regime,spread,hour_of_day,weekday
2026-04-01 00:00:00+00:00,119.826,138.248,-9.833,deficit,18.421999999999997,0,2
2026-04-01 00:15:00+00:00,111.389,138.05,-4.245,deficit,26.661000000000016,0,2
2026-04-01 00:30:00+00:00,109.543,139.502,-4.055,deficit,29.959000000000003,0,2
2026-04-01 00:45:00+00:00,88.687,88.687,1.295,surplus,0.0,0,2
2026-04-01 01:00:00+00:00,113.631,136.048,-2.066,deficit,22.417,1,2
2026-04-01 01:15:00+00:00,87.266,87.266,0.798,surplus,0.0,1,2
2026-04-01 01:30:00+00:00,109.573,109.573,0.189,surplus,0.0,1,2
2026-04-01 01:45:00+00:00,30.636,30.636,0.209,surplus,0.0,1,2
2026-04-01 02:00:00+00:00,112.343,112.343,5.177,surplus,0.0,2,2
2026-04-01 02:15:00+00:00,109.93,109.93,6.053,surplus,0.0,2,2
2026-04-01 02:30:00+00:00,51.634,51.634,9.0,surplus,0.0,2,2
2026-04-01 02:45:00+00:00,87.979,87.979,10.673,surplus,0.0,2,2
2026-04-01 03:00:00+00:00,120.832,120.832,6.855,surplus,0.0,3,2
2026-04-01 03:15:00+00:00,152.479,144.29,15.787,surplus,-8.189000000000021,3,2
2026-04-01 03:30:00+00:00,131.088,131.088,11.998,surplus,0.0,3,2
2026-04-01 03:45:00+00:00,132.463,132.463,13.794,surplus,0.0,3,2
2026-04-01 04:00:00+00:00,115.127,115.127,6.46,surplus,0.0,4,2
2026-04-01 04:15:00+00:00,163.889,163.889,8.858,surplus,0.0,4,2
2026-04-01 04:30:00+00:00,67.931,67.931,6.726,surplus,0.0,4,2
2026-04-01 04:45:00+00:00,59.529,59.529,3.139,surplus,0.0,4,2
2026-04-01 05:00:00+00:00,196.97,254.199,-0.375,deficit,57.22900000000001,5,2
2026-04-01 05:15:00+00:00,185.567,185.567,3.843,surplus,0.0,5,2
2026-04-01 05:30:00+00:00,96.045,96.045,14.106,surplus,0.0,5,2
2026-04-01 05:45:00+00:00,109.587,109.587,28.247,surplus,0.0,5,2
2026-04-01 06:00:00+00:00,118.066,118.066,18.999,surplus,0.0,6,2
2026-04-01 06:15:00+00:00,101.711,101.711,27.5,surplus,0.0,6,2
2026-04-01 06:30:00+00:00,90.508,90.508,24.435,surplus,0.0,6,2
2026-04-01 06:45:00+00:00,110.191,110.191,28.629,surplus,0.0,6,2
2026-04-01 07:00:00+00:00,96.381,96.381,27.734,surplus,0.0,7,2
2026-04-01 07:15:00+00:00,91.421,91.421,25.235,surplus,0.0,7,2
2026-04-01 07:30:00+00:00,77.722,77.722,25.888,surplus,0.0,7,2
2026-04-01 07:45:00+00:00,117.921,117.921,39.34,surplus,0.0,7,2
2026-04-01 08:00:00+00:00,185.645,133.8302,26.976,surplus,-51.81480000000002,8,2
2026-04-01 08:15:00+00:00,90.447,90.447,28.649,surplus,0.0,8,2
2026-04-01 08:30:00+00:00,100.967,100.967,28.207,surplus,0.0,8,2
2026-04-01 08:45:00+00:00,67.987,67.987,28.141,surplus,0.0,8,2
2026-04-01 09:00:00+00:00,-18.174,-18.174,21.937,surplus,0.0,9,2
2026-04-01 09:15:00+00:00,-18.1,-18.1,20.793,surplus,0.0,9,2
2026-04-01 09:30:00+00:00,-23.283,-23.283,34.41,surplus,0.0,9,2
2026-04-01 09:45:00+00:00,1.876,1.876,27.055,surplus,0.0,9,2
2026-04-01 10:00:00+00:00,58.242,58.242,22.254,surplus,0.0,10,2
2026-04-01 10:15:00+00:00,76.112,76.112,19.732,surplus,0.0,10,2
2026-04-01 10:30:00+00:00,0.772,0.772,31.666,surplus,0.0,10,2
2026-04-01 10:45:00+00:00,-22.045,-22.045,32.83,surplus,0.0,10,2
2026-04-01 11:00:00+00:00,12.644,12.644,33.53,surplus,0.0,11,2
2026-04-01 11:15:00+00:00,7.755,7.755,43.313,surplus,0.0,11,2
2026-04-01 11:30:00+00:00,-7.891,-7.891,42.653,surplus,0.0,11,2
2026-04-01 11:45:00+00:00,-14.745,-14.745,32.754,surplus,0.0,11,2
2026-04-01 12:00:00+00:00,-12.044,-12.044,24.805,surplus,0.0,12,2
2026-04-01 12:15:00+00:00,45.987,45.987,20.177,surplus,0.0,12,2
2026-04-01 12:30:00+00:00,26.11,26.11,17.609,surplus,0.0,12,2
2026-04-01 12:45:00+00:00,39.832,39.832,11.046,surplus,0.0,12,2
2026-04-01 13:00:00+00:00,2.181,2.181,5.3,surplus,0.0,13,2
2026-04-01 13:15:00+00:00,10.282,10.282,11.1,surplus,0.0,13,2
2026-04-01 13:30:00+00:00,18.775,18.775,18.448,surplus,0.0,13,2
2026-04-01 13:45:00+00:00,79.493,79.493,20.307,surplus,0.0,13,2
2026-04-01 14:00:00+00:00,20.167,20.167,17.814,surplus,0.0,14,2
2026-04-01 14:15:00+00:00,26.678,26.678,2.189,surplus,0.0,14,2
2026-04-01 14:30:00+00:00,18.375,18.375,9.049,surplus,0.0,14,2
2026-04-01 14:45:00+00:00,76.479,76.479,4.358,surplus,0.0,14,2
2026-04-01 15:00:00+00:00,66.171,130.317,-3.854,deficit,64.146,15,2
2026-04-01 15:15:00+00:00,52.834,129.0251,-3.629,deficit,76.1911,15,2
2026-04-01 15:30:00+00:00,179.696,179.696,-0.81,deficit,0.0,15,2
2026-04-01 15:45:00+00:00,90.674,157.718,-7.892,deficit,67.04399999999998,15,2
2026-04-01 16:00:00+00:00,81.557,146.09,-4.319,deficit,64.533,16,2
2026-04-01 16:15:00+00:00,171.651,171.651,-7.204,deficit,0.0,16,2
2026-04-01 16:30:00+00:00,147.695,167.4823,-1.249,deficit,19.787300000000016,16,2
2026-04-01 16:45:00+00:00,80.981,216.183,-6.965,deficit,135.202,16,2
2026-04-01 17:00:00+00:00,104.604,104.604,0.463,surplus,0.0,17,2
2026-04-01 17:15:00+00:00,116.86,116.86,6.318,surplus,0.0,17,2
2026-04-01 17:30:00+00:00,121.99,219.571,-7.213,deficit,97.581,17,2
2026-04-01 17:45:00+00:00,139.887,230.56,-7.24,deficit,90.673,17,2
2026-04-01 18:00:00+00:00,169.79,216.3195,-10.936,deficit,46.52950000000001,18,2
2026-04-01 18:15:00+00:00,148.413,199.342,-0.997,deficit,50.929,18,2
2026-04-01 18:30:00+00:00,89.815,198.0,-2.421,deficit,108.185,18,2
2026-04-01 18:45:00+00:00,116.304,180.6425,-3.012,deficit,64.33850000000001,18,2
2026-04-01 19:00:00+00:00,136.686,136.686,1.499,surplus,0.0,19,2
2026-04-01 19:15:00+00:00,167.904,185.625,-9.554,deficit,17.721000000000004,19,2
2026-04-01 19:30:00+00:00,175.962,179.003,-3.753,deficit,3.040999999999997,19,2
2026-04-01 19:45:00+00:00,178.254,178.254,-3.298,deficit,0.0,19,2
2026-04-01 20:00:00+00:00,106.629,184.404,-4.154,deficit,77.77499999999999,20,2
2026-04-01 20:15:00+00:00,149.809,170.731,-12.187,deficit,20.921999999999997,20,2
2026-04-01 20:30:00+00:00,161.341,166.705,-8.577,deficit,5.364000000000004,20,2
2026-04-01 20:45:00+00:00,140.641,164.1081,-3.884,deficit,23.467100000000016,20,2
2026-04-01 21:00:00+00:00,86.914,86.914,1.413,surplus,0.0,21,2
2026-04-01 21:15:00+00:00,111.773,111.773,1.34,surplus,0.0,21,2
2026-04-01 21:30:00+00:00,117.859,117.859,0.828,surplus,0.0,21,2
2026-04-01 21:45:00+00:00,113.732,113.732,0.156,surplus,0.0,21,2
2026-04-01 22:00:00+00:00,142.868,155.1,-2.108,deficit,12.232,22,2
2026-04-01 22:15:00+00:00,161.961,161.961,-4.161,deficit,0.0,22,2
2026-04-01 22:30:00+00:00,132.71,133.705,-2.61,deficit,0.9950000000000045,22,2
2026-04-01 22:45:00+00:00,125.124,131.23,-2.694,deficit,6.1059999999999945,22,2
2026-04-01 23:00:00+00:00,129.634,137.973,-5.572,deficit,8.339000000000027,23,2
2026-04-01 23:15:00+00:00,108.045,133.5133,-1.582,deficit,25.468299999999985,23,2
2026-04-01 23:30:00+00:00,103.88,103.88,0.354,surplus,0.0,23,2
2026-04-01 23:45:00+00:00,107.8,107.8,3.882,surplus,0.0,23,2
2026-04-02 00:00:00+00:00,130.329,130.329,-2.283,deficit,0.0,0,3
2026-04-02 00:15:00+00:00,80.843,125.884,-1.238,deficit,45.041,0,3
2026-04-02 00:30:00+00:00,109.069,125.125,-4.829,deficit,16.055999999999997,0,3
2026-04-02 00:45:00+00:00,35.251,122.573,-5.94,deficit,87.322,0,3
2026-04-02 01:00:00+00:00,147.933,147.933,-4.438,deficit,0.0,1,3
2026-04-02 01:15:00+00:00,147.017,147.017,-2.328,deficit,0.0,1,3
2026-04-02 01:30:00+00:00,147.257,147.257,-4.021,deficit,0.0,1,3
2026-04-02 01:45:00+00:00,149.254,149.254,-2.568,deficit,0.0,1,3
2026-04-02 02:00:00+00:00,162.329,105.56,1.483,surplus,-56.769000000000005,2,3
2026-04-02 02:15:00+00:00,153.703,153.703,-0.857,deficit,0.0,2,3
2026-04-02 02:30:00+00:00,129.982,109.46,2.201,surplus,-20.522000000000006,2,3
2026-04-02 02:45:00+00:00,137.792,111.19,6.212,surplus,-26.602000000000004,2,3
2026-04-02 03:00:00+00:00,115.203,108.3,0.072,surplus,-6.903000000000006,3,3
2026-04-02 03:15:00+00:00,155.312,113.17,5.384,surplus,-42.14200000000001,3,3
2026-04-02 03:30:00+00:00,166.149,119.3,6.181,surplus,-46.849000000000004,3,3
2026-04-02 03:45:00+00:00,162.397,137.0,8.888,surplus,-25.39699999999999,3,3
2026-04-02 04:00:00+00:00,122.486,122.486,6.667,surplus,0.0,4,3
2026-04-02 04:15:00+00:00,158.827,151.48,10.171,surplus,-7.347000000000008,4,3
2026-04-02 04:30:00+00:00,142.014,142.014,12.956,surplus,0.0,4,3
2026-04-02 04:45:00+00:00,129.304,129.304,3.06,surplus,0.0,4,3
2026-04-02 05:00:00+00:00,153.027,186.4685,-3.145,deficit,33.44150000000002,5,3
2026-04-02 05:15:00+00:00,157.283,187.6984,-11.677,deficit,30.415400000000005,5,3
2026-04-02 05:30:00+00:00,135.224,187.3003,-16.926,deficit,52.0763,5,3
2026-04-02 05:45:00+00:00,150.401,182.4745,-25.844,deficit,32.073499999999996,5,3
2026-04-02 06:00:00+00:00,95.014,216.623,-31.904,deficit,121.609,6,3
2026-04-02 06:15:00+00:00,124.704,190.806,-21.044,deficit,66.10200000000002,6,3
2026-04-02 06:30:00+00:00,157.275,174.1817,-21.226,deficit,16.9067,6,3
2026-04-02 06:45:00+00:00,161.583,166.398,-22.486,deficit,4.814999999999998,6,3
2026-04-02 07:00:00+00:00,304.539,304.539,-28.181,deficit,0.0,7,3
2026-04-02 07:15:00+00:00,258.58,258.58,-16.954,deficit,0.0,7,3
2026-04-02 07:30:00+00:00,160.399,160.399,-9.807,deficit,0.0,7,3
2026-04-02 07:45:00+00:00,121.413,150.4802,-19.022,deficit,29.0672,7,3
2026-04-02 08:00:00+00:00,189.205,189.205,-19.649,deficit,0.0,8,3
2026-04-02 08:15:00+00:00,153.448,153.448,-11.483,deficit,0.0,8,3
2026-04-02 08:30:00+00:00,196.212,196.212,-25.243,deficit,0.0,8,3
2026-04-02 08:45:00+00:00,112.933,132.9537,-25.655,deficit,20.02069999999999,8,3
2026-04-02 09:00:00+00:00,118.067,144.9534,-49.62,deficit,26.886399999999995,9,3
2026-04-02 09:15:00+00:00,113.249,143.9701,-49.626,deficit,30.721100000000007,9,3
2026-04-02 09:30:00+00:00,96.855,143.7859,-40.869,deficit,46.930899999999994,9,3
2026-04-02 09:45:00+00:00,81.623,148.3541,-31.703,deficit,66.73109999999998,9,3
2026-04-02 10:00:00+00:00,90.559,134.0867,-33.025,deficit,43.52770000000001,10,3
2026-04-02 10:15:00+00:00,100.296,130.8486,-25.927,deficit,30.552599999999998,10,3
2026-04-02 10:30:00+00:00,101.346,128.7625,-24.807,deficit,27.416499999999985,10,3
2026-04-02 10:45:00+00:00,70.028,127.5154,-19.143,deficit,57.487399999999994,10,3
2026-04-02 11:00:00+00:00,18.529,118.1963,-12.714,deficit,99.6673,11,3
2026-04-02 11:15:00+00:00,38.761,115.2716,-4.466,deficit,76.51060000000001,11,3
2026-04-02 11:30:00+00:00,72.404,113.5057,-14.06,deficit,41.10170000000001,11,3
2026-04-02 11:45:00+00:00,34.869,110.3313,-0.218,deficit,75.4623,11,3
2026-04-02 12:00:00+00:00,5.598,106.315,-4.299,deficit,100.717,12,3
2026-04-02 12:15:00+00:00,59.601,59.601,9.862,surplus,0.0,12,3
2026-04-02 12:30:00+00:00,32.995,32.995,2.483,surplus,0.0,12,3
2026-04-02 12:45:00+00:00,47.881,47.881,2.16,surplus,0.0,12,3
2026-04-02 13:00:00+00:00,70.888,70.1912,27.781,surplus,-0.6968000000000103,13,3
2026-04-02 13:15:00+00:00,77.27,77.27,12.729,surplus,0.0,13,3
2026-04-02 13:30:00+00:00,55.582,55.582,5.714,surplus,0.0,13,3
2026-04-02 13:45:00+00:00,39.39,39.39,4.51,surplus,0.0,13,3
2026-04-02 14:00:00+00:00,53.361,98.747,-0.294,deficit,45.386,14,3
2026-04-02 14:15:00+00:00,97.138,109.945,-2.946,deficit,12.806999999999988,14,3
2026-04-02 14:30:00+00:00,22.387,22.387,2.411,surplus,0.0,14,3
2026-04-02 14:45:00+00:00,123.171,123.171,-13.501,deficit,0.0,14,3
2026-04-02 15:00:00+00:00,80.335,112.3962,-0.548,deficit,32.0612,15,3
2026-04-02 15:15:00+00:00,113.748,118.0895,-12.786,deficit,4.341499999999996,15,3
2026-04-02 15:30:00+00:00,47.289,129.8951,-5.425,deficit,82.60610000000001,15,3
2026-04-02 15:45:00+00:00,50.006,138.9549,-7.761,deficit,88.94890000000001,15,3
2026-04-02 16:00:00+00:00,80.628,80.628,8.158,surplus,0.0,16,3
2026-04-02 16:15:00+00:00,111.873,111.873,5.129,surplus,0.0,16,3
2026-04-02 16:30:00+00:00,92.507,92.507,3.901,surplus,0.0,16,3
2026-04-02 16:45:00+00:00,119.802,119.802,6.369,surplus,0.0,16,3
2026-04-02 17:00:00+00:00,87.146,87.146,10.66,surplus,0.0,17,3
2026-04-02 17:15:00+00:00,106.11,106.11,5.575,surplus,0.0,17,3
2026-04-02 17:30:00+00:00,87.919,87.919,3.822,surplus,0.0,17,3
2026-04-02 17:45:00+00:00,140.365,140.365,3.003,surplus,0.0,17,3
2026-04-02 18:00:00+00:00,158.829,192.027,-2.73,deficit,33.19799999999998,18,3
2026-04-02 18:15:00+00:00,166.414,158.65,0.577,surplus,-7.763999999999982,18,3
2026-04-02 18:30:00+00:00,168.037,172.15,-5.0,deficit,4.1129999999999995,18,3
2026-04-02 18:45:00+00:00,157.402,165.5139,-5.933,deficit,8.11190000000002,18,3
2026-04-02 19:00:00+00:00,149.218,180.675,-4.138,deficit,31.457000000000022,19,3
2026-04-02 19:15:00+00:00,161.765,170.005,-8.947,deficit,8.240000000000009,19,3
2026-04-02 19:30:00+00:00,137.403,155.4021,-4.336,deficit,17.9991,19,3
2026-04-02 19:45:00+00:00,107.34,152.9599,-0.675,deficit,45.6199,19,3
2026-04-02 20:00:00+00:00,84.495,159.5,-2.535,deficit,75.005,20,3
2026-04-02 20:15:00+00:00,137.585,155.1536,-11.932,deficit,17.568600000000004,20,3
2026-04-02 20:30:00+00:00,132.873,154.3663,-15.93,deficit,21.493300000000005,20,3
2026-04-02 20:45:00+00:00,66.721,154.1567,-13.043,deficit,87.4357,20,3
2026-04-02 21:00:00+00:00,141.155,151.4335,-16.453,deficit,10.278500000000008,21,3
2026-04-02 21:15:00+00:00,77.369,149.9711,-8.209,deficit,72.60210000000001,21,3
2026-04-02 21:30:00+00:00,141.141,150.055,-5.564,deficit,8.914000000000016,21,3
2026-04-02 21:45:00+00:00,149.359,149.359,-6.64,deficit,0.0,21,3
2026-04-02 22:00:00+00:00,68.312,161.59,-15.213,deficit,93.278,22,3
2026-04-02 22:15:00+00:00,123.311,150.172,-21.41,deficit,26.86099999999999,22,3
2026-04-02 22:30:00+00:00,134.994,142.681,-20.893,deficit,7.687000000000012,22,3
2026-04-02 22:45:00+00:00,135.335,135.476,-16.258,deficit,0.14099999999999113,22,3
2026-04-02 23:00:00+00:00,119.253,136.983,-13.888,deficit,17.730000000000004,23,3
2026-04-02 23:15:00+00:00,85.633,136.51,-10.581,deficit,50.876999999999995,23,3
2026-04-02 23:30:00+00:00,103.469,136.851,-8.519,deficit,33.382000000000005,23,3
2026-04-02 23:45:00+00:00,114.5,135.9608,-8.909,deficit,21.460800000000006,23,3
2026-04-03 00:00:00+00:00,123.213,140.283,-0.075,deficit,17.069999999999993,0,4
2026-04-03 00:15:00+00:00,104.167,132.0,-2.306,deficit,27.833,0,4
2026-04-03 00:30:00+00:00,89.822,130.3387,-6.653,deficit,40.516699999999986,0,4
2026-04-03 00:45:00+00:00,110.073,130.3387,-9.621,deficit,20.265699999999995,0,4
2026-04-03 01:00:00+00:00,68.334,131.208,-5.673,deficit,62.873999999999995,1,4
2026-04-03 01:15:00+00:00,114.875,129.5024,-8.098,deficit,14.627399999999994,1,4
2026-04-03 01:30:00+00:00,111.599,129.4588,-3.86,deficit,17.859799999999993,1,4
2026-04-03 01:45:00+00:00,105.594,132.671,-2.019,deficit,27.076999999999998,1,4
2026-04-03 02:00:00+00:00,96.853,134.31,-6.824,deficit,37.45700000000001,2,4
2026-04-03 02:15:00+00:00,107.063,135.179,-12.189,deficit,28.116,2,4
2026-04-03 02:30:00+00:00,102.774,133.364,-8.588,deficit,30.590000000000003,2,4
2026-04-03 02:45:00+00:00,91.257,131.912,-8.82,deficit,40.655,2,4
2026-04-03 03:00:00+00:00,119.615,135.597,-11.554,deficit,15.982000000000014,3,4
2026-04-03 03:15:00+00:00,90.92,137.819,-6.109,deficit,46.89899999999999,3,4
2026-04-03 03:30:00+00:00,128.12,136.906,-6.788,deficit,8.786000000000001,3,4
2026-04-03 03:45:00+00:00,124.772,142.67,-5.855,deficit,17.897999999999982,3,4
2026-04-03 04:00:00+00:00,157.448,157.448,-6.219,deficit,0.0,4,4
2026-04-03 04:15:00+00:00,139.359,123.7071,0.137,surplus,-15.651900000000012,4,4
2026-04-03 04:30:00+00:00,128.178,147.301,-3.914,deficit,19.12299999999999,4,4
2026-04-03 04:45:00+00:00,91.319,150.744,-2.207,deficit,59.425,4,4
2026-04-03 05:00:00+00:00,93.997,147.1461,-5.598,deficit,53.14909999999999,5,4
2026-04-03 05:15:00+00:00,46.144,46.144,1.389,surplus,0.0,5,4
2026-04-03 05:30:00+00:00,108.581,108.581,9.698,surplus,0.0,5,4
2026-04-03 05:45:00+00:00,70.896,70.896,8.403,surplus,0.0,5,4
